state,year,cdl,deposit_cents,redemption_rate,population,pct_beverages_covered,notes
Connecticut,2024,1,10,65,3605000,91,Deposit raised 5c->10c Jan 2024; CRI 65% (+21pp YoY jump)
Connecticut,2025,1,10,70,3600000,91,Projected continued improvement
Hawaii,2001,0,0,,1221000,0,Law not yet enacted; enacted June 2002; effective Jan 2005
Hawaii,2002,0,0,,1244898,0,Law enacted June 2002; not yet effective
Hawaii,2003,0,0,,1257608,0,
Hawaii,2004,0,0,,1272000,0,
Hawaii,2005,1,5,72,1289000,88,Effective Jan 2005; rate estimated from CRI early data
Hawaii,2006,1,5,71,1309000,88,
Hawaii,2007,1,5,70,1316000,88,
Hawaii,2008,1,5,70,1334000,88,
Hawaii,2009,1,5,70,1344000,88,
Hawaii,2010,1,5,70,1360301,88,Census year
Hawaii,2011,1,5,70,1374000,88,
Hawaii,2012,1,5,72,1392000,88,
Hawaii,2013,1,5,74,1407000,88,CRI 74%
Hawaii,2014,1,5,71,1420000,88,CRI 71%
Hawaii,2015,1,5,68,1431000,88,CRI 68%
Hawaii,2016,1,5,66,1428557,88,CRI 66%
Hawaii,2017,1,5,64,1427538,88,CRI 64%
Hawaii,2018,1,5,66,1422094,88,CRI 66%
Hawaii,2019,1,5,64,1415872,88,CRI 64%
Hawaii,2020,1,5,64,1455271,88,CRI 64%; partial COVID suspension
Hawaii,2021,1,5,58,1441553,88,CRI 58%
Hawaii,2022,1,5,59,1440196,88,CRI 59%
Hawaii,2023,1,5,55,1435138,88,CRI 55%
Hawaii,2024,1,5,54,1430000,88,CRI 2025 table 54%
Hawaii,2025,1,5,54,1425000,88,Projected flat
Iowa,2001,1,5,80,2926000,65,Law active since 1978; rate estimated from CRI high era
Iowa,2002,1,5,80,2934000,65,
Iowa,2003,1,5,79,2944000,65,
Iowa,2004,1,5,79,2954000,65,
Iowa,2005,1,5,79,2966000,65,
Iowa,2006,1,5,78,2982000,65,
Iowa,2007,1,5,78,2988000,65,
Iowa,2008,1,5,77,2999000,65,
Iowa,2009,1,5,77,3007000,65,
Iowa,2010,1,5,77,3046355,65,Census year
Iowa,2011,1,5,77,3062000,65,
Iowa,2012,1,5,76,3074000,65,
Iowa,2013,1,5,78,3090000,65,CRI 78%
Iowa,2014,1,5,78,3107000,65,CRI 78%
Iowa,2015,1,5,65,3123000,65,CRI reported decline; limited data availability noted by CRI
Iowa,2016,1,5,63,3134693,65,CRI 63%
Iowa,2017,1,5,63,3145711,65,
Iowa,2018,1,5,63,3156145,65,
Iowa,2019,1,5,63,3155070,65,
Iowa,2020,1,5,63,3190369,65,CRI notes limited current data
Iowa,2021,1,5,,3198600,65,CRI: no current data available
Iowa,2022,1,5,49,3200517,65,CRI 49% (includes curbside)
Iowa,2023,1,5,,3207000,65,CRI: no current data
Iowa,2024,1,5,,3210000,65,No data
Iowa,2025,1,5,,3213000,65,No data
Maine,2001,1,5,90,1286000,91,Law since 1978; 90% era confirmed by CRI
Maine,2002,1,5,90,1294000,91,
Maine,2003,1,5,90,1302000,91,
Maine,2004,1,5,90,1310000,91,
Maine,2005,1,5,90,1318000,91,
Maine,2006,1,5,90,1322000,91,
Maine,2007,1,5,90,1315000,91,
Maine,2008,1,5,90,1318000,91,
Maine,2009,1,5,90,1318000,91,
Maine,2010,1,5,90,1328361,91,Census year
Maine,2011,1,5,90,1328000,91,
Maine,2012,1,5,90,1329000,91,
Maine,2013,1,5,90,1328000,93,CRI 90%
Maine,2014,1,5,90,1333000,93,CRI 90%
Maine,2015,1,5,84,1329000,93,CRI 84%
Maine,2016,1,5,76,1331000,93,CRI 76%; decline begins
Maine,2017,1,5,75,1335000,93,CRI 75%
Maine,2018,1,5,78,1338000,93,CRI 78%
Maine,2019,1,5,77,1344000,93,CRI 77%
Maine,2020,1,5,74,1362359,93,COVID; CRI 74%
Maine,2021,1,5,74,1372247,93,CRI 74%; redemption centers closing
Maine,2022,1,5,74,1385340,93,CRI 74%
Maine,2023,1,5,74,1395000,93,CRI 74%; handling fee raised mid-2023
Maine,2024,1,5,74,1402000,93,Projected flat; new sorting rules effective 2025
Maine,2025,1,5,75,1408000,93,Projected slight recovery
Massachusetts,2001,1,5,68,6349000,41,Law since 1983; early era rates from CRI
Massachusetts,2002,1,5,68,6427000,41,
Massachusetts,2003,1,5,67,6433000,41,
Massachusetts,2004,1,5,67,6417000,41,
Massachusetts,2005,1,5,67,6398000,41,
Massachusetts,2006,1,5,67,6437000,41,
Massachusetts,2007,1,5,67,6497000,41,
Massachusetts,2008,1,5,67,6497000,41,
Massachusetts,2009,1,5,67,6593000,41,
Massachusetts,2010,1,5,67,6547629,41,Census year
Massachusetts,2011,1,5,67,6611000,41,
Massachusetts,2012,1,5,67,6645000,41,
Massachusetts,2013,1,5,66,6692000,41,CRI 66%
Massachusetts,2014,1,5,66,6745000,41,CRI 66%
Massachusetts,2015,1,5,59,6794000,41,CRI 59%
Massachusetts,2016,1,5,56,6812000,41,CRI 56%
Massachusetts,2017,1,5,57,6859000,41,CRI 57%
Massachusetts,2018,1,5,52,6902000,41,CRI 52%
Massachusetts,2019,1,5,50,6949000,41,CRI 50%
Massachusetts,2020,1,5,43,7029917,41,COVID; CRI 43%
Massachusetts,2021,1,5,38,7033469,41,CRI 38%; not recovered
Massachusetts,2022,1,5,38,7100000,41,CRI 38%
Massachusetts,2023,1,5,36,7172000,41,CRI 36%
Massachusetts,2024,1,5,35,7170000,41,CRI 35%; reform legislation pending
Massachusetts,2025,1,5,35,7168000,41,Projected flat pending reform
Michigan,2001,1,10,95,9990000,57,10c deposit since 1977; nation-leading rates
Michigan,2002,1,10,95,9990000,57,
Michigan,2003,1,10,95,9917000,57,
Michigan,2004,1,10,95,9938000,57,
Michigan,2005,1,10,95,9909000,57,
Michigan,2006,1,10,95,9877000,57,
Michigan,2007,1,10,95,9843000,57,
Michigan,2008,1,10,94,9806000,57,
Michigan,2009,1,10,95,9764000,57,
Michigan,2010,1,10,95,9883640,57,Census year
Michigan,2011,1,10,95,9876000,57,
Michigan,2012,1,10,95,9883000,57,
Michigan,2013,1,10,95,9895000,57,CRI 95%
Michigan,2014,1,10,94,9909000,57,CRI 94%
Michigan,2015,1,10,93,9922000,57,CRI 93%
Michigan,2016,1,10,92,9928000,57,CRI 92%
Michigan,2017,1,10,91,9962000,57,CRI 91%
Michigan,2018,1,10,89,9994000,57,CRI 89%
Michigan,2019,1,10,89,9987000,57,CRI 89%
Michigan,2020,1,10,73,10077331,57,COVID: state suspended redemption for months; CRI 73%
Michigan,2021,1,10,73,10048869,57,CRI 73%; slow recovery
Michigan,2022,1,10,76,10000000,57,CRI 76%
Michigan,2023,1,10,73,9993000,57,CRI 73%
Michigan,2024,1,10,70,9975000,57,CRI 70%
Michigan,2025,1,10,70,9960000,57,Projected flat
New York,2001,1,5,68,19002000,79,Law since 1983; rates from CRI
New York,2002,1,5,68,19157000,79,
New York,2003,1,5,67,19190000,79,
New York,2004,1,5,66,19241000,79,
New York,2005,1,5,65,19254000,79,
New York,2006,1,5,65,19306000,79,
New York,2007,1,5,65,19398000,79,
New York,2008,1,5,65,19490000,79,
New York,2009,1,5,65,19541000,79,
New York,2010,1,5,65,19378102,79,Census year
New York,2011,1,5,64,19465000,79,
New York,2012,1,5,64,19570000,79,
New York,2013,1,5,62,19651000,79,CRI 62%
New York,2014,1,5,64,19746000,79,CRI 64%
New York,2015,1,5,65,19819000,79,CRI 65%
New York,2016,1,5,66,19746000,79,CRI 66%
New York,2017,1,5,65,19849000,79,CRI 65%
New York,2018,1,5,64,19454000,79,CRI 64%
New York,2019,1,5,64,19453561,79,CRI 64%
New York,2020,1,5,64,20201249,79,CRI 64%; partial COVID suspension
New York,2021,1,5,70,19835913,79,CRI 70%
New York,2022,1,5,70,19677151,79,CRI 70%
New York,2023,1,5,68,19571216,79,CRI 68%
New York,2024,1,5,69,19490000,79,CRI 2025 table 69%
New York,2025,1,5,69,19450000,79,Projected flat
Oregon,2001,1,5,87,3472000,89,Law since 1971; 5c deposit; high era
Oregon,2002,1,5,86,3508000,89,
Oregon,2003,1,5,85,3541000,89,
Oregon,2004,1,5,84,3583000,89,
Oregon,2005,1,5,83,3641000,89,Drop from peak; CRI noted gradual decline
Oregon,2006,1,5,82,3700000,89,
Oregon,2007,1,5,80,3747000,89,
Oregon,2008,1,5,80,3783000,89,
Oregon,2009,1,5,79,3825000,89,
Oregon,2010,1,5,78,3831074,89,Census year
Oregon,2011,1,5,77,3871000,89,
Oregon,2012,1,5,76,3899000,89,
Oregon,2013,1,5,71,3930000,89,CRI 71%
Oregon,2014,1,5,68,3970000,89,CRI 68%
Oregon,2015,1,5,64,4029000,89,CRI 64% (nadir before reform)
Oregon,2016,1,5,64,4094000,89,CRI 64%
Oregon,2017,1,10,73,4142000,89,Deposit raised 5c->10c April 2017; CRI 73%
Oregon,2018,1,10,81,4191000,89,CRI 81%
Oregon,2019,1,10,86,4218000,89,CRI 86%
Oregon,2020,1,10,77,4237256,89,COVID; CRI 77%
Oregon,2021,1,10,81,4246155,89,CRI 81%
Oregon,2022,1,10,86,4240000,89,CRI 86%
Oregon,2023,1,10,87,4233000,89,CRI 87%; nation-leading rate
Oregon,2024,1,10,87,4230000,89,CRI 2025 table 87%
Oregon,2025,1,10,87,4228000,89,Projected flat
Vermont,2001,1,5,75,609000,47,Law since 1973
Vermont,2002,1,5,75,614000,47,
Vermont,2003,1,5,75,619000,47,
Vermont,2004,1,5,75,621000,47,
Vermont,2005,1,5,75,621000,47,
Vermont,2006,1,5,75,624000,47,
Vermont,2007,1,5,66,623000,47,CRI 2007 overall rate 66%
Vermont,2008,1,5,73,626000,47,
Vermont,2009,1,5,74,629000,47,
Vermont,2010,1,5,74,625741,47,Census year
Vermont,2011,1,5,74,627000,47,
Vermont,2012,1,5,75,626000,47,
Vermont,2013,1,5,75,627000,47,CRI 75%
Vermont,2014,1,5,77,626000,47,CRI 77%
Vermont,2015,1,5,78,626000,47,CRI 78%
Vermont,2016,1,5,76,624000,47,CRI 76%
Vermont,2017,1,5,71,623000,47,CRI 71%
Vermont,2018,1,5,72,624000,47,CRI 72%
Vermont,2019,1,5,70,623000,47,CRI 70%
Vermont,2020,1,5,70,643503,47,CRI 70%; partial COVID
Vermont,2021,1,5,72,647464,47,CRI 72%
Vermont,2022,1,5,72,648000,47,CRI 72%
Vermont,2023,1,5,70,647000,47,CRI 70%
Vermont,2024,1,5,70,646000,47,Projected; expansion bill vetoed 2023
Vermont,2025,1,5,70,645000,47,Projected flat
Delaware,2001,1,5,55,797000,65,Law 1982; repealed Dec 2010
Delaware,2002,1,5,55,814000,65,
Delaware,2003,1,5,55,829000,65,
Delaware,2004,1,5,55,844000,65,
Delaware,2005,1,5,55,851000,65,
Delaware,2006,1,5,55,859000,65,
Delaware,2007,1,5,55,869000,65,Estimated; limited CRI data for Delaware
Delaware,2008,1,5,55,876000,65,
Delaware,2009,1,5,55,884000,65,
Delaware,2010,0,0,,897934,0,Repealed Dec 2010; no returns from Jan 2011
Delaware,2011,0,0,,907000,0,
Delaware,2012,0,0,,917000,0,
Delaware,2013,0,0,,925000,0,
Delaware,2014,0,0,,935000,0,
Delaware,2015,0,0,,945000,0,
Delaware,2016,0,0,,952065,0,
Delaware,2017,0,0,,961939,0,
Delaware,2018,0,0,,967171,0,
Delaware,2019,0,0,,973764,0,
Delaware,2020,0,0,,989948,0,
Delaware,2021,0,0,,1003384,0,
Delaware,2022,0,0,,1018396,0,
Delaware,2023,0,0,,1031890,0,
Delaware,2024,0,0,,1038000,0,
Delaware,2025,0,0,,1043000,0,
Texas,2001,0,0,,21323000,0,No CDL; large non-CDL control state
Texas,2002,0,0,,21779000,0,
Texas,2003,0,0,,22130000,0,
Texas,2004,0,0,,22490000,0,
Texas,2005,0,0,,22860000,0,
Texas,2006,0,0,,23508000,0,
Texas,2007,0,0,,23904000,0,
Texas,2008,0,0,,24327000,0,
Texas,2009,0,0,,24782000,0,
Texas,2010,0,0,,25145561,0,Census year
Texas,2011,0,0,,25674000,0,
Texas,2012,0,0,,26060000,0,
Texas,2013,0,0,,26448000,0,
Texas,2014,0,0,,26957000,0,
Texas,2015,0,0,,27470000,0,
Texas,2016,0,0,,27863000,0,
Texas,2017,0,0,,28304000,0,
Texas,2018,0,0,,28628000,0,
Texas,2019,0,0,,29000000,0,
Texas,2020,0,0,,29145505,0,
Texas,2021,0,0,,29527941,0,
Texas,2022,0,0,,30032000,0,
Texas,2023,0,0,,30503000,0,
Texas,2024,0,0,,31000000,0,
Texas,2025,0,0,,31500000,0,
Florida,2001,0,0,,16397000,0,No CDL; large non-CDL control state
Florida,2002,0,0,,16713000,0,
Florida,2003,0,0,,17019000,0,
Florida,2004,0,0,,17397000,0,
Florida,2005,0,0,,17789000,0,
Florida,2006,0,0,,18090000,0,
Florida,2007,0,0,,18251000,0,
Florida,2008,0,0,,18328000,0,
Florida,2009,0,0,,18538000,0,
Florida,2010,0,0,,18801310,0,Census year
Florida,2011,0,0,,19083000,0,
Florida,2012,0,0,,19318000,0,
Florida,2013,0,0,,19553000,0,
Florida,2014,0,0,,19893000,0,
Florida,2015,0,0,,20271000,0,
Florida,2016,0,0,,20612000,0,
Florida,2017,0,0,,20984000,0,
Florida,2018,0,0,,21299000,0,
Florida,2019,0,0,,21478000,0,
Florida,2020,0,0,,21538187,0,
Florida,2021,0,0,,21781128,0,
Florida,2022,0,0,,22244823,0,
Florida,2023,0,0,,22610726,0,
Florida,2024,0,0,,23000000,0,
Florida,2025,0,0,,23400000,0,
Illinois,2001,0,0,,12482000,0,No CDL; Midwest non-CDL control
Illinois,2002,0,0,,12600000,0,
Illinois,2003,0,0,,12653000,0,
Illinois,2004,0,0,,12714000,0,
Illinois,2005,0,0,,12763000,0,
Illinois,2006,0,0,,12832000,0,
Illinois,2007,0,0,,12852000,0,
Illinois,2008,0,0,,12901000,0,
Illinois,2009,0,0,,12910000,0,
Illinois,2010,0,0,,12830632,0,Census year
Illinois,2011,0,0,,12869000,0,
Illinois,2012,0,0,,12875000,0,
Illinois,2013,0,0,,12882000,0,
Illinois,2014,0,0,,12880000,0,
Illinois,2015,0,0,,12860000,0,
Illinois,2016,0,0,,12802000,0,
Illinois,2017,0,0,,12802000,0,
Illinois,2018,0,0,,12741000,0,
Illinois,2019,0,0,,12672000,0,
Illinois,2020,0,0,,12812508,0,
Illinois,2021,0,0,,12671469,0,
Illinois,2022,0,0,,12582032,0,
Illinois,2023,0,0,,12549000,0,
Illinois,2024,0,0,,12530000,0,
Illinois,2025,0,0,,12515000,0,
Washington,2001,0,0,,5987000,0,No CDL; Pacific Northwest non-CDL control (neighbor of Oregon)
Washington,2002,0,0,,6068000,0,
Washington,2003,0,0,,6131000,0,
Washington,2004,0,0,,6203000,0,
Washington,2005,0,0,,6288000,0,
Washington,2006,0,0,,6396000,0,
Washington,2007,0,0,,6468000,0,
Washington,2008,0,0,,6549000,0,
Washington,2009,0,0,,6664000,0,
Washington,2010,0,0,,6724540,0,Census year
Washington,2011,0,0,,6830000,0,
Washington,2012,0,0,,6897000,0,
Washington,2013,0,0,,6971000,0,
Washington,2014,0,0,,7062000,0,
Washington,2015,0,0,,7171000,0,
Washington,2016,0,0,,7288000,0,
Washington,2017,0,0,,7406000,0,
Washington,2018,0,0,,7536000,0,
Washington,2019,0,0,,7615000,0,
Washington,2020,0,0,,7705281,0,
Washington,2021,0,0,,7738692,0,
Washington,2022,0,0,,7864400,0,
Washington,2023,0,0,,7951000,0,
Washington,2024,0,0,,8064000,0,
Washington,2025,0,0,,8180000,0,
